Date,User,Tweet
2022-05-29 23:58:13+00:00,CecileCallis,The Justice Department Is Reviewing the Police Response to Uvalde Shooting https://t.co/yOrAv9416O via @intelligencer
2022-05-29 23:58:13+00:00,DarkWitchGoddes,#BanAssaultWeapons #Uvalde #TexasGov #Texas #GregAbbott #Beto #GunOwnersForSafety #TeachersStrike https://t.co/0J8cMNYDJN
2022-05-29 23:58:13+00:00,Clancaster19821,@ktfuntweets In Switzerland and Israel everyone is packing. It isn't the guns killing them. Its the people. If the teacher in the classroom in Uvalde were allowed to be packing or possible armed security at the entrance.Its possible that the only one dead would be the guy there  to do harm.
2022-05-29 23:58:12+00:00,JeanPoole_AZ,"@YasminMSNBC @aliciavlozano Overall, it seems there has been very little reporting in the media about the number hospitalized victims and their conditions. I think this is the first story I’ve seen.

Your reporting in Uvalde has been excellent. I hope you’re able to take some time off soon to decompress."
2022-05-29 23:58:11+00:00,WiNorthwoods,"@kylegriffin1 Uvalde, Buffalo, Sandy Hook, Stoneman Douglas and Columbine are inconsequential to the GOP. Those victims will be replaced by unwanted births. They are acceptable losses. The Republican party does care for humanity. They pander to the uneducated wretches who sop up the insanity."
2022-05-29 23:58:07+00:00,A_Scruby_Casual,@AmoneyResists Did you even see the tweet? He couldn't even get through half a sentence about Uvalde without mourning George Floyd.
2022-05-29 23:58:02+00:00,TruthOptimistic,"I'm sure Merrick Garland will get right on this. 

""US Department of Justice to review police response to Uvalde school shooting""  
https://t.co/dIPkXPWXTu"
2022-05-29 23:57:55+00:00,HuckabeeSoul,"Forget Cuba.

Anyone thinking of voting for a Republican should first spend time in Canada, Europe, Australia, or New Zealand &amp; find out what it's like to have universal healthcare &amp; no fear of mass shootings. 

#RepublicansAreTheProblem 
#Uvalde https://t.co/M1eagpWFPS"
2022-05-29 23:57:53+00:00,billiebwilliams,"Ted Cruz’s good guys with guns failed the little babies of Uvalde. What’s his new line going to be? Protect them in the womb at all cost even death to the mother but once birth occurs they are on their own. Right to choose, gun control, ban AR15, vote GOP out. All of them!"
2022-05-29 23:57:52+00:00,annarajagopal_,This community is showing up for one another continually. Residents are handing out cold water bottles to visitors. Mutual aid in practice. Grateful to Uvalde locals and the surrounding South TX community (including my great aunt) who took the time to share space today. ❤️
2022-05-29 23:57:50+00:00,JaymzGutierrez,#RES✝️ #Uvalde 🙏😢 https://t.co/t7hlLV2wQv
2022-05-29 23:57:49+00:00,1813Doncarlo,"While Pres. Biden &amp; First Lady Jill Biden were comforting the families of the victims of the school massacre in Uvalde, Texas &amp; promising action on assault weapons, Ted Cruz was babbling idiotic nonsense about ""hardened doors"" &amp; ""single entry points"" in school buildings."
2022-05-29 23:57:48+00:00,Clampitts,"Uvalde, but not the border, oh, so close by. Maybe those CBP  can divert him there. https://t.co/IjqSvBCyOn"
2022-05-29 23:57:47+00:00,CrestedDee,"Their mom was killed in Uvalde, then their dad died of a heart attack -- now people are donating millions for their family - CNN.  As of Sunday afternoon, 46,400 donations were made, totaling $2,593,860 https://t.co/0ZM5GaQiKF"
